Ekran_Boyutu,Ekran_Karti,Ekran_Yenileme_Hizi,Hard_Disk_Kapasitesi,Ram,SSD_Kapasitesi,Cozunurluk,Islemci_Nesli,Islemci_Tipi,Isletim_Sistemi,url,price,marka
15.6,Dahili Ekran Kartı,60.0,0.0,16.0,512.0,1920 x 1080,12.0,Intel Core i5,Free Dos,https://www.trendyol.com//lenovo/nb-v15-g3-i5-1235u-16gb-512gb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-82tt00a6tx003-p-744745792,14.599,lenovo
17.3,Nvidia GeForce RTX 3050 Ti,60.0,256.0,16.0,500.0,1920 x 1080,13.0,Intel Core i7,Free Dos,https://www.trendyol.com//monster/abra-a7-v13-3-3-intel-core-i7-11800h-16gb-500gb-ssd-rtx3050ti-freedos-17-3-fhd-p-133966693,27.899,monster
15.6,Nvidia GeForce RTX 3050,144.0,0.0,16.0,512.0,1920 x 1080,12.0,Intel Core i7,Windows,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-16gb-512gb-ssd-rtx3050-windows-11-pro-15-6-fhd-144hz-p-764509751?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4wOTUzNzkyMTQ5OTA4ODQwNiwiYWRTY29yZSI6MC4wMzQyNzIwODU4NzUyNzI3NSwiYWRTY29yZXMiOnsiMSI6MC4wMzQyNzIwODU4NzUyNzI3NSwiMiI6MC4wMzQyNzIwODU4NzUyNzI3NX0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi42NTE5OTUwMzcyNTM5ODk2LCJhZHZlcnRTbG90IjoxMSwib3JkZXIiOjE5LCJhdHRyaWJ1dGVzIjoiIn0=,36.0206,msi
13.0,M1 7 Çekirdekli,60.0,256.0,16.0,256.0,2560 x 1600,13.0,Apple M1,Mac Os,https://www.trendyol.com//monster/abra-a7-v13-3-4-intel-core-i7-11800h-32gb-1-tb-ssd-rtx3050ti-freedos-17-3-fhd-p-738620917,34.799,monster
15.6,AMD Radeon RX6500M,144.0,0.0,16.0,512.0,1920 x 1080,5.0,AMD Ryzen 5,Free Dos,https://www.trendyol.com//hp/victus-gaming-laptop-15-fb0025nt-r5-5600h-16-gb-512-gb-ssd-rx6500m-dos-15-6-fhd-144hz-7n9g7ea-p-645935643,22.299,hp
15.6,Nvidia GeForce RTX 3050,144.0,0.0,16.0,512.0,1920 x 1080,12.0,Intel Core i7,Free Dos,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4-hn011-intel-core-i7-12700h-16-gb-512-gb-ssd-rtx-3050-144-hz-freedos-15-p-654271600,30.999,asus
15.6,Nvidia GeForce GTX1650 Ti,120.0,0.0,8.0,512.0,1920 x 1080,11.0,Intel Core i5,Windows,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-11320h-8-gb-512-gb-gtx1650-w11-pro-15-6-fhd-82k101lxtxar103-p-772339485?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4wOTAyMDM5NjQ1MDkwNjk5MiwiYWRTY29yZSI6MC4wMzI0MTI0OTE3Mzg3OTYyMzQsImFkU2NvcmVzIjp7IjEiOjAuMDMyNDEyNDkxNzM4Nzk2MjM0LCIyIjowLjAzMjQxMjQ5MTczODc5NjIzNH0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi43ODMsImFkdmVydFNsb3QiOjEyLCJvcmRlciI6MjMsImF0dHJpYnV0ZXMiOiIifQ==,25.1442,lenovo
15.6,Dahili Ekran Kartı,60.0,0.0,4.0,128.0,1920 x 1080,10.0,Intel Celeron,Windows,https://www.trendyol.com//lenovo/ip-celeron-islemci-4-gb-ram-128-gb-ssd-15-6-win-laptop-gri-82v700a9tx-p-759819201,6.692,lenovo
15.6,Intel Iris Graphics,60.0,0.0,16.0,512.0,1920 x 1080,11.0,Intel Core i5,Windows,https://www.trendyol.com//lenovo/v15-i5-1135g7-16gb-512gb-ssd-15-6-fhd-w11pro-tasinabilir-bilgisayar-82kb00n9tx-p-741544827,18.672,lenovo
16.1,Nvidia GeForce RTX 4070,144.0,0.0,16.0,1.0,1920 x 1080,13.0,Intel Core i7,Free Dos,https://www.trendyol.com//hp/victus-16-r0006nt-intel-i7-13700h-ddr5-16gb-1tb-ssd-gen4-16-1-144hz-8gb-rtx-4070-freedos-7p632ea-p-738804739,43.388,hp
