ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,BaÄŸlantÄ±lar (Ä°kincil),Bağlantılar,Bağlantılar (İkincil),Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-24-gb-512-gb-ssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt93-p-665693548,"15.819,70 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,20 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-20gb-1-thdd-512-gb-ssd-2gb-mx330-14-w10-pro-n4030vn3400emeabt180-p-665693547,"16.429,91 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,8 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-8-gb-1-tbhdd-2-tbssd-2gb-mx330-freedos-14-n4030vn3400emeabt35-p-665693546,"16.106,86 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-1-tbhdd-2-tbssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt159-p-665693545,"19.516,86 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,20 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-20gb-1-thdd-512-ssd-2gb-mx330-14-w10-home-n4030vn3400emeabt172-p-665693543,"16.250,44 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-2-tbssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt154-p-665693538,"18.655,39 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/vostro-3400-core-i5-1135g7-32-gb-1-tbhdd-1-tbssd-2gb-mx330-freedos-14-n4030vn3400emeabt29-p-665693535,"16.358,12 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-1-tbhdd-256-gb-ssd-2gb-mx330-w10-home-14-n4030vn3400emeabt49-p-665693533,"16.537,60 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-1-tbhdd-256-gb-ssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt129-p-665693526,"16.896,54 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,8 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-8-gb-2-tbssd-2gb-mx330-w10-home-14-n4030vn3400emeabt70-p-665693524,"16.501,70 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,32 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-32-gb-1-tbhdd-512-gb-ssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt139-p-665693522,"17.363,18 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-1-tbhdd-1-tbssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt107-p-665693201,"16.681,18 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-2-tbssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt112-p-665692273,"17.363,18 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-16-gb-1-tbhdd-2-tbssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt157-p-665691728,"18.404,13 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-24-gb-1-tbhdd-1-tbssd-2gb-mx330-w11-pro-14-n4030vn3400emeabt148-p-665687005,"17.470,86 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,24 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-24-gb-1-tbhdd-2-tbssd-2gb-mx330-w1o-pro-14-n4030vn3400emeabt118-bilgisayar-p-665685524,"18.834,86 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,20 GB,DDR4,Gri,2 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//dell/vostro-3400-i5-1135g7-20gb-1-thdd-2-tbssd-2gb-mx330-14-w10-pro-n4030vn3400emeabt184-p-665685258,"18.583,60 TL"
,,,,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,8 GB,DDR4,Siyah,512 GB,,,,2.4,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Linux,,https://www.trendyol.com//dell/vostro-3520-i5-1135-15-6-8g-512ssd-dos-p-773856581,"16.244,16 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,,,,,8 GB,Belirtilmemiş,Gri,256 GB,,,,,,,,,,,,,1920 x 1080,HD Ready (HD),,1135G7,11. Nesil,Intel Core i5,Belirtilmemiş,Ubuntu,,https://www.trendyol.com//dell/vostro-3420-n2000vnb3420emea-u-intel-core-i5-1135g7-8gb-256gb-ssd-14-fhd-ubuntu-notebook-p-448150711,"13.999,99 TL"
,128 GB,,,USB,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 4070,GDDR6X,8 GB,Harici,,240 Hz,,,2 Yıl,İthalatçı Garantili,,,HDD Yok,,Q İngilizce,,Oyun,,,,,,,IPS,,,64 GB,DDR5,Siyah,2 TB,,,,,,,,,,,,,2560 x 1600,QHD+,,13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//msi/raider-ge78hx-13vg-020us-i9-13950hx-64gb-ram-2tb-nvme-rtx-4070-8gb-gddr6-17-3-240hz-ips-win11-p-746972691,89.999 TL
,,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,DDR,Paylaşımlı,Dahili,,60 Hz,,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,,Ofis - İş,,4.2,,,,Yok,TN,,,12 GB,DDR4,Siyah,512 GB,,,,2.4,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/v15-g2-itl-i5-1135g7-12gb-512gb-ssd-15-6-fhd-w10home-82kb00hutxs1-p-215085813,15.099 TL
,,,,Wi-Fi,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,2.8,,,,Yok,TN,,,16 GB,DDR4,Gri,128 GB,,,,1.1,,,,,,,,,1920 x 1080,Full HD (FHD),,N4020,Belirtilmemiş,Intel Celeron,2,Free Dos,,https://www.trendyol.com//asus/intel-celeron-n4020-16gb-128gb-ssd-fhd-15-6-60hz-windows-11-home-x515ma-ej679wt7-p-781610439,9.199 TL
,,,,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.5,,,,,,,,24 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5825U,5. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//lenovo/v15-g3-amd-r7-5825u-24gb-512gb-ssd-15-6-fhd-w11pro-tasinabilir-bilgisayar-82tv004mtx-p-712975980,17.628 TL
,,,,HDMI - USB,,,2 kg ve Altı,Yok,14 inç,,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,2.8,,,,Yok,TN,,,4 GB,DDR4,Gri,128 GB,,,,1.1,,,,,,,,,1920 x 1080,Full HD (FHD),,N4020,Belirtilmemiş,Intel Celeron,2,Windows,4-6 Saat,https://www.trendyol.com//asus/x415ma-ek385w-intel-celeron-n4020-4gb-128gb-ssd-w11h-14-fhd-bilgisayar-canta-p-783950048,8.799 TL
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,14 inç,,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ofis - İş,,,,,,,,,,16 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//lenovo/e14-21e300getx03-i5-1235u-16gb-512ssd-14-fullhd-freedos-tasinabilir-bilgisayar-cnt004-p-781769805,"25.631,10 TL"
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,IPS,,,8 GB,DDR4,Gri,256 GB,,,,3,,,,,,,,,1920 x 1080,Full HD (FHD),,1115G4,11. Nesil,Intel Core i3,2,Windows,,https://www.trendyol.com//asus/intel-core-i3-1115g4-8gb-256gb-ssd-15-6-fhd-w11p-tasinabilir-bilgisayar-x515ea-ej3575017-p-778091081,11.799 TL
,,,,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,4.3,,,,Yok,TN,,,16 GB,DDR4,Gri,512 GB,,,,1.8,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//lenovo/ideapad-1-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-fhd-t-bilgisayar-82r4006ftrs2-p-768241492,13.499 TL
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,20 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/dell-vostro-3400-i5-1135g7-20gb-512-gb-ssd-2gb-mx330-14-w11-pron4030vn3400emeabt187-p-665721531,"15.747,91 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,20 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/dell-vostro-3400-i5-1135g7-20gb-256-gb-ssd-2gb-mx330-14-w11-pron4030vn3400emeabt185-p-665710180,"15.281,28 TL"
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,12 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/v15-82kb01b5tx03-i5-1135g7-12gb-256ssd-15-6-fullhd-w11h-tasinabilir-bilgisayar-cnt004-p-774579222,"14.748,03 TL"
,,,,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,32 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5300U,5. Nesil,AMD Ryzen 3,4,Free Dos,,https://www.trendyol.com//hp/15s-eq2010nt-amd-ryzen-3-5300u-32gb-ram-512gb-ssd-15-6-inc-fhd-freedos-hp4h0k2ea07-zettacanta-p-742025684,14.800 TL
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,4.4,,,,Yok,IPS,,,16 GB,DDR4,Mavi,1 TB,Gen 4,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//asus/vivobook-15-x1502za-ej1644-i5-1235u-16gb-1tb-ssd-f-dos-15-6-fhd-dizustu-bilgisayar-wz164403-p-782835570,19.999 TL
,,,,USB,,,2 kg ve Altı,Var,Belirtilmemiş,,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,90 Hz,,,2 Yıl,İthalatçı Garantili,,,2 TB,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,4 GB,DDR5,Gri,4 TB,,,,,,,,,,,,,1920 x 1200,Ultra HD 4K (UHD),,Belirtilmemiş,5. Nesil,Intel Pentium,1,Windows,,https://www.trendyol.com//lenovo/e15-21e60052tx-i7-1255u-16gb-512gb-ssd-15-6-quot-w11p-p-740963083,31.999 TL
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,12 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/dell-vostro-3400-core-i5-1135g7-12gb-1-tbhdd-1-tbssd-2gb-mx330-freedos-14-n4030vn3400emeabt26-p-665666829,"14.922,33 TL"
,,,,,,,2 - 4 kg,Yok,14 inç,,,,,Nvidia GeForce MX330,GDDR5,2 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,8 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/dell-vostro-3400-core-i5-1135g7-8-gb-1-tbhdd-1-tbssd-2gb-mx330-freedos-14-n4030vn3400emeabt25-p-665663323,"14.563,38 TL"
,,,,Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics 600,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ev - Okul,,2.8,,,,,IPS,,,4 GB,DDR4,Gümüş,128 GB,,,,1.1,,,,,,,,,1920 x 1080,FHD+,,N4020,4. Nesil,Intel Celeron,2,Windows,4-6 Saat,https://www.trendyol.com//asus/x515ma-ej680w-n4020-4gb-128gb-emmc-windows-11-home-15-6-full-hd-notebook-p-737952984,7.650 TL
,,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,16 inç,,,,,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,,165 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,5.0,,,,,IPS,,,16 GB,DDR4,Siyah,500 GB,Gen 4,,,2.4,,,,,,,,,2560 x 1600,QHD,,13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t6-v1-1-intel-core-i7-13700h-16-gb-ram-500-gb-ssd-8-gb-rtx-4070-freedos-16-qhd-165-hz-p-742790518,57.999 TL
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Var,14 inç,,,,,Dahili Ekran Kartı,DDR,Paylaşımlı,Dahili,,90 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ofis - İş,,4.3,,,,,WUXGA,,,16 GB,DDR4,Siyah,1 TB,Gen 4,,,,,,,,,,,,2880 x 1800,OLED 2.8K,,5625U,5. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//asus/zenbook-14-um3402ya-ryzen-5-5625u-16gb-1tb-ssd-win11-14-wqxga-oled-dokunmatik-bilgisayar-wz01-p-778759022,36.999 TL
,,,,,,,4 kg ve Üstü,Yok,"10,6 inç",,,,,AMD R7 250,DDR3,16 GB,Nvidia Quadro P2000,,120 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,RGB Türkçe,,Ofis - İş,,,,,,DVD RW,,,,48 GB,DDR6,Siyah,480 GB,,,,,,,,,,,,,2340 x 1440,QHD,,10400,12. Nesil,Apple M1 Pro,14,Linux,,https://www.trendyol.com//asus/x515ea-ej905-i3-1115g4-4gb-256gb-ssd-15-6-fhd-freedos-notebook-p-386891598,9.949 TL
,,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,SD,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gümüş,1 TB,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//everest/everbook-eb-21a9-i5-1135g7-16gb-1tbssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-364322225,"12.819,51 TL"
,,,,Bluetooth - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,DDR,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,24 GB,DDR4,Siyah,1 TB,,,,2.4,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//hp/250-g8-i5-1135g7-24gb-1tb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-853u7es14-p-772572088,13.699 TL
,,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,4.4,,,,Yok,,,,16 GB,DDR4,Mavi,256 GB,,,,3.3,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Windows,4-6 Saat,https://www.trendyol.com//asus/vivobook-15-x1502za-ej654w-i5-1235u-8gb-512gb-ssd-15-6-fhd-win11-dizustu-bilgisayar-ej654wz-p-782877834,16.999 TL
