marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,Cozunurluk,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
msi,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,16.399
asus,Free Dos,Intel Core i5,12.0,1920 x 1080,1.0,24.0,0.0,60.0,Intel UHD Graphics,15.6,18.299
hp,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,256.0,8.0,0.0,60.0,Nvidia GeForce GTX 1650,15.6,21.999
lenovo,Windows,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce RTX 3050,15.6,27.894
monster,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 4060,15.6,38.999
casper,Free Dos,Intel Core i3,11.0,1920 x 1080,1.0,16.0,0.0,60.0,Intel UHD Graphics,15.6,12.399
msi,Free Dos,Intel Core i5,12.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,15.6,38.888
msi,Windows,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,34.9243
hp,Free Dos,AMD Ryzen 5,6.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 3050 Ti,16.1,24.7241
casper,Free Dos,Intel Core i7,11.0,1920 x 1080,500.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,14.9555
acer,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,8.0,0.0,165.0,Nvidia GeForce RTX 4060,15.6,34.999
lenovo,Windows,AMD Ryzen 7,5.0,1920 x 1080,512.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,15.3378
hp,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,512.0,16.0,0.0,144.0,AMD Radeon RX6500M,15.6,22.299
lenovo,Free Dos,AMD Ryzen 3,7.0,1920 x 1080,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,9.799
hp,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,512.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,11.3999
asus,Windows,Intel Core i5,10.0,1920 x 1080,512.0,32.0,0.0,60.0,Nvidia GeForce GTX 1650,15.6,26.1188
casper,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,32.0,0.0,60.0,Intel Iris Graphics,15.6,20.499
asus,Mac Os,Apple M1,13.0,2560 x 1600,128.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,8.674
acer,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,22.49
asus,Windows,Intel Core i5,11.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,30.1932
monster,Free Dos,Intel Core i5,12.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,29.999
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,15.499
