marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
16,5,8,5.0,512.0,8.0,0.0,60.0,3,15.6,14.984
11,1,7,11.0,256.0,8.0,0.0,60.0,14,15.6,10.0999
1,3,27,13.0,256.0,16.0,0.0,60.0,30,13.6,40.0813
18,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,27.099
2,5,20,11.0,512.0,8.0,0.0,144.0,45,15.6,28.2132
16,1,21,12.0,512.0,16.0,0.0,60.0,21,15.6,18.799
3,1,20,12.0,500.0,8.0,0.0,144.0,36,15.6,22.999
1,3,27,2.0,256.0,8.0,256.0,120.0,30,13.0,43.499
2,5,20,11.0,512.0,8.0,0.0,144.0,45,15.6,28.2105
16,5,20,12.0,512.0,8.0,0.0,60.0,21,14.0,23.999
2,5,19,11.0,256.0,12.0,0.0,60.0,24,15.6,10.699
4,5,7,13.0,512.0,16.0,0.0,120.0,45,15.6,24.899
2,5,21,12.0,1.0,32.0,0.0,144.0,45,15.6,41.9444
16,1,8,5.0,512.0,16.0,0.0,60.0,14,15.6,14.999
1,3,13,1.0,256.0,8.0,250.0,120.0,31,13.6,35.999
16,1,6,11.0,256.0,4.0,0.0,60.0,14,15.6,8.499
2,5,21,12.0,1.0,16.0,0.0,144.0,45,15.6,40.775
19,5,21,13.0,1.0,32.0,0.0,144.0,55,15.6,66.289
3,1,8,5.0,1.0,16.0,0.0,60.0,3,15.6,13.4549
2,1,19,12.0,512.0,8.0,0.0,60.0,24,15.6,10.999
2,5,20,11.0,512.0,8.0,0.0,144.0,45,15.6,28.2132
3,1,20,11.0,500.0,8.0,0.0,60.0,21,15.6,13.999
11,1,20,13.0,512.0,16.0,0.0,144.0,53,15.6,30.999
3,1,20,12.0,1.0,16.0,0.0,144.0,53,15.6,29.4118
2,5,21,12.0,512.0,16.0,0.0,144.0,45,15.6,38.9744
19,1,20,11.0,512.0,8.0,0.0,60.0,45,15.6,25.699
11,3,10,13.0,1.0,16.0,0.0,60.0,28,15.6,31.199
2,5,20,11.0,1.0,16.0,0.0,144.0,45,15.6,31.25
11,5,20,11.0,512.0,8.0,0.0,60.0,21,15.6,14.7928
0,5,20,12.0,256.0,8.0,0.0,144.0,44,15.6,23.5988
13,5,19,10.0,256.0,8.0,0.0,60.0,14,14.0,13.79
19,1,20,12.0,512.0,8.0,0.0,60.0,14,15.6,16.899
16,5,8,5.0,1.0,16.0,0.0,60.0,3,15.6,16.984
2,5,20,10.0,256.0,8.0,256.0,90.0,27,15.6,13.099
2,5,20,11.0,1.0,32.0,0.0,144.0,45,15.6,33.5
4,1,20,11.0,512.0,16.0,0.0,60.0,41,15.6,15.9195
16,5,8,5.0,512.0,8.0,0.0,60.0,3,15.6,14.5058
11,1,8,6.0,512.0,8.0,0.0,144.0,46,16.1,26.595
19,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,22.999
3,1,20,11.0,500.0,8.0,0.0,60.0,21,15.6,11.689
11,1,19,13.0,512.0,8.0,0.0,60.0,14,14.0,10.899
19,1,20,11.0,512.0,16.0,0.0,144.0,58,15.6,30.65
2,5,21,12.0,0.0,16.0,1.0,60.0,58,15.6,184.999
11,5,20,11.0,512.0,16.0,0.0,90.0,53,15.6,29.799
11,1,21,13.0,1.0,16.0,0.0,144.0,54,16.1,39.999
1,3,27,2.0,256.0,8.0,256.0,120.0,30,13.0,41.899
13,5,22,13.0,1.0,16.0,0.0,60.0,21,16.0,39.5
16,1,8,6.0,512.0,16.0,0.0,120.0,46,15.6,25.999
